Distance_(pixels),Gray_Value
0,2673.000
1,2631.034
2,2849.543
3,4035.099
4,7216.390
5,12354.126
6,17819.660
7,19287.393
8,17125.158
9,11195.812
10,6366.653
11,3667.502
12,2647.525
13,2227.912
14,1958.377
15,1743.890
16,1620.339
17,1569.125
18,1487.460
19,1449.342
20,1451.754
21,1423.234
22,1472.749
23,1489.048
24,1495.993
25,1534.621
26,1517.763
27,1576.787
28,1576.325
29,1554.339
30,1547.237
31,1577.953
32,1653.387
33,1634.457
34,1494.000
