,Output,GT,Input
Distance_(_),Gray_Value,,
0,347.5,618.5,277
1,372.615,662.068,287.771
2,424.548,755.653,300.309
3,534.618,913.104,326.863
4,657.266,1058.913,354.559
5,728.546,1101.85,378.277
6,686.188,1015.359,383.801
7,595.878,928.998,392.546
8,529.333,907.556,423.194
9,533.334,983.376,486.67
10,572.204,1113.116,565.138
11,606.763,1188.976,616.204
12,615.938,1210.656,612.188
13,596.413,1169.383,555.297
14,576.777,1107.88,485.327
15,614.446,1129.905,438.336
16,775.806,1322.194,437.25
17,1049.173,1652.774,464.869
18,1322.945,1967.105,495.348
19,1388.01,2009.025,491.992
20,1153.361,1704.795,456.469
21,874.091,1334.321,429.539
22,645.807,1039.986,398.929
23,554.566,926.114,392.086
24,540.375,903.125,395.375
