Distance_(pixels),Gray_Value
0,380.500
1,387.317
2,427.106
3,514.393
4,677.379
5,806.352
6,817.166
7,699.955
8,541.680
9,431.936
10,376.755
11,357.801
12,356.719
13,355.750
14,349.174
15,368.127
16,413.548
17,533.511
18,677.376
19,782.353
20,727.778
21,591.263
22,463.456
23,390.712
24,358.988
25,348.087
26,344.000
27,341.688
28,330.991
29,317.947
30,318.550
31,323.452
32,321.895
33,329.497
34,355.802
35,381.466
36,422.967
37,515.324
38,665.231
39,848.000
