Distance_(pixels),Gray_Value
0,831.500
1,824.827
2,819.277
3,895.473
4,997.768
5,1175.131
6,1355.698
7,1502.156
8,1638.068
9,1714.700
10,1694.499
11,1623.460
12,1585.266
13,1543.667
14,1453.198
15,1371.358
16,1310.882
17,1214.050
18,1219.642
19,1297.639
20,1392.567
21,1500.234
22,1519.028
23,1430.097
24,1265.695
25,1162.074
26,1074.667
27,1113.195
28,1164.952
29,1225.278
30,1300.574
31,1317.342
32,1303.490
33,1175.627
34,1073.646
35,959.222
36,912.500
37,857.155
38,838.717
39,840.000
