Distance_(pixels),Gray_Value
0,1212.000
1,1212.144
2,1246.383
3,1409.867
4,1675.147
5,1981.483
6,2172.864
7,2202.111
8,2179.749
9,2146.636
10,2071.254
11,1981.261
12,1941.985
13,1899.417
14,1802.372
15,1739.485
16,1724.430
17,1747.562
18,1897.018
19,2079.991
20,2120.345
21,2091.497
22,1982.483
23,1820.809
24,1624.683
25,1510.161
26,1418.667
27,1454.883
28,1495.943
29,1543.225
30,1619.124
31,1640.793
32,1625.386
33,1505.124
34,1429.448
35,1340.689
36,1335.467
37,1372.480
38,1503.948
39,1688.000
