,Output,GT,Input
Distance_(_),Gray_Value,,
0,4584.444,5759.222,4651.75
1,4494.351,5651.963,4536.225
2,4563.079,5707.861,4594.298
3,4742.796,5972.857,4785.327
4,5233.258,6702.984,5388.435
5,5861.406,7591.774,6142.088
6,6285.548,8112.468,6622.847
7,5946.611,7666.296,6125.111
8,5586.251,7231.75,5450.086
9,5940.564,7520.984,5359.735
10,6436.407,7939.191,5486.678
11,6386.602,7964.61,5523.094
12,5925.827,7578.5,5454.695
13,5939.855,7720.116,5902.742
14,6388.111,8284.969,6648.812
15,6220.646,8090.905,6585.515
16,5352.133,6798.705,5488.007
17,4734.92,5857.878,4683.481
18,4439.233,5408.5,4308.546
19,4327.247,5222.326,4143.066
20,4203.699,5086.701,4025.395
21,4067,4958,3905
