,Output,GT,Input
Distance_(_),Gray_Value,,
0,328.5,1044.5,167.167
1,330.325,1049.712,172.698
2,329.102,1041.983,178.503
3,335.907,1070.602,197.271
4,372.458,1167.695,249.579
5,457.412,1417.638,368.914
6,594.355,1845.49,549.202
7,744.617,2289.473,705.833
8,827.86,2496.167,735.17
9,819.518,2394.997,636.939
10,701.474,2012.842,456.07
11,607.694,1765.921,328.268
12,568.575,1780.368,271.211
13,572.821,1899.375,254.037
14,576.017,1893.053,243.711
15,537.076,1734.473,220.226
16,463.837,1467.05,188.868
17,405.092,1246.365,170.32
18,389.252,1188.848,167.763
19,410.625,1272.25,178.438
20,459.457,1456.769,198.45
21,511.847,1633.226,212.109
22,531.862,1688.083,213.693
23,511.874,1630.775,205.934
24,469.91,1483.089,191.763
25,430.376,1332.77,185.956
26,411.767,1284.003,191.006
27,420.574,1309.316,208.575
28,432.303,1333.59,233.877
29,482.413,1468.604,317.79
30,592.795,1797.393,452.974
31,712.794,2244.332,580.846
32,788.007,2597.218,623.918
33,769.023,2654.145,525.308
34,651.715,2313.676,382.386
35,525.849,1856.697,263.829
36,442.425,1486.367,204
37,408.779,1306.624,181.321
38,402,1268,182.889
