,ER,,,,Adhesion,,
 ,Mean,Min,Max,,Mean,Min,Max
1,96.812,22,382,,375.627,135,1579
2,152.102,44,663,,369.755,100,1994
3,200.534,120,808,,272.572,72,1591
4,263.955,123,1329,,265.311,83,1520
5,625.826,269,1962,,257.128,76,1945
6,411.089,64,2241,,181.62,62,1540
7,424.368,191,1797,,52.44,24,420
8,438.861,89,4476,,219.134,56,688
