,output,gt,input
Distance_(_),Gray_Value,,
0,414,688,337
1,391.441,655.765,318.711
2,389.675,648.384,318.613
3,391.267,653.456,315.701
4,424.264,713.75,333.994
5,466.753,795.701,354.778
6,499.685,862.117,365.961
7,517.347,908.245,372.327
8,514.029,905.968,369.233
9,502.396,866.236,367.668
10,477.711,826.598,357.854
11,436.633,739.204,333.314
12,422.066,722.384,327.697
13,426.185,730.543,334.391
14,431.408,744.98,334.939
15,455.444,793.933,344.05
16,500.12,867.018,364.553
17,535.45,931.528,379.049
18,552.034,968.14,387.467
19,545.564,959.037,387.828
20,494.344,869.47,357.307
21,487.755,846.735,372.02
22,477.297,821.648,375.453
23,467.386,805.063,376.136
24,471.357,811.87,389.171
25,507.807,869.349,439.888
26,565.732,961.848,519.361
27,642.474,1099.148,621.524
28,678.245,1152.653,673.245
29,659.367,1124.265,650.648
30,579.008,987.555,552.377
31,500.439,851.349,454.595
32,451.555,766.689,394.548
33,416.778,719.834,355.18
34,414.176,705.649,351.425
35,408.571,686.327,345.204
36,395.065,651.096,332.174
37,387.835,635.428,325.197
38,381.423,624.234,320.484
39,371.285,615.279,310.856
40,383.014,637.206,324.885
41,382.359,628.379,324.101
42,381.878,630.204,324.347
43,382.33,635.51,326.18
44,378.034,627.036,323.95
45,380.144,638.112,328.673
46,378.973,649.207,328.903
47,378.28,646.192,330.544
48,403.7,691.282,360.256
49,428,741,389
